ReleasePackageName,ReleasePackageVersion,ReleaseNumber,ReleaseARCH,ReleaseSizeBytes,ReleaseSourceRPM
libdhash,0.5.0,58.el10,x86_64,62878,ding-libs-0.6.2-58.el10.src.rpm
libref_array,0.1.5,58.el10,x86_64,58662,ding-libs-0.6.2-58.el10.src.rpm
libassuan,2.5.6,6.el10,x86_64,171462,libassuan-2.5.6-6.el10.src.rpm
libnl3,3.11.0,1.el10,x86_64,1085047,libnl3-3.11.0-1.el10.src.rpm
libXau,1.0.11,8.el10,x86_64,68483,libXau-1.0.11-8.el10.src.rpm
libxcb,1.17.0,3.el10,x86_64,1162650,libxcb-1.17.0-3.el10.src.rpm
libX11,1.8.10,1.el10,x86_64,1350964,libX11-1.8.10-1.el10.src.rpm
libXext,1.3.6,3.el10,x86_64,96253,libXext-1.3.6-3.el10.src.rpm
libXfixes,6.0.1,5.el10,x86_64,35062,libXfixes-6.0.1-5.el10.src.rpm
libXi,1.8.1,7.el10,x86_64,82645,libXi-1.8.1-7.el10.src.rpm
libXrender,0.9.11,8.el10,x86_64,51311,libXrender-0.9.11-8.el10.src.rpm
libXrandr,1.5.4,5.el10,x86_64,53092,libXrandr-1.5.4-5.el10.src.rpm
libXtst,1.2.4,8.el10,x86_64,38448,libXtst-1.2.4-8.el10.src.rpm
libXdamage,1.1.6,5.el10,x86_64,44761,libXdamage-1.1.6-5.el10.src.rpm
libXinerama,1.1.5,8.el10,x86_64,19485,libXinerama-1.1.5-8.el10.src.rpm
libepoxy,1.5.10,9.el10,x86_64,1198660,libepoxy-1.5.10-9.el10.src.rpm
libogg,1.3.5,10.el10,x86_64,50601,libogg-1.3.5-10.el10.src.rpm
opus,1.4,6.el10,x86_64,392590,opus-1.4-6.el10.src.rpm
libvorbis,1.3.7,12.el10,x86_64,853573,libvorbis-1.3.7-12.el10.src.rpm
libsigc++30,3.6.0,5.el10,x86_64,91551,libsigc++30-3.6.0-5.el10.src.rpm
libedit,3.1,52.20230828cvs.el10,x86_64,249718,libedit-3.1-52.20230828cvs.el10.src.rpm
findutils,4.10.0,5.el10,x86_64,1942967,findutils-4.10.0-5.el10.src.rpm
lua-libs,5.4.6,7.el10,x86_64,283675,lua-5.4.6-7.el10.src.rpm
lz4-libs,1.9.4,8.el10,x86_64,140659,lz4-1.9.4-8.el10.src.rpm
libxshmfence,1.3.2,5.el10,x86_64,15712,libxshmfence-1.3.2-5.el10.src.rpm
libXcursor,1.2.1,9.el10,x86_64,54736,libXcursor-1.2.1-9.el10.src.rpm
libXcomposite,0.4.6,5.el10,x86_64,45602,libXcomposite-0.4.6-5.el10.src.rpm
gawk,5.3.0,6.el10,x86_64,1799405,gawk-5.3.0-6.el10.src.rpm
hunspell-en-GB,0.20201207,11.el10,noarch,556242,hunspell-en-0.20201207-11.el10.src.rpm
hunspell-en-US,0.20201207,11.el10,noarch,570772,hunspell-en-0.20201207-11.el10.src.rpm
hunspell,1.7.2,9.el10,x86_64,1417877,hunspell-1.7.2-9.el10.src.rpm
libaio,0.3.111,22.el10,x86_64,57853,libaio-0.3.111-22.el10.src.rpm
libeconf,0.6.2,4.el10,x86_64,59376,libeconf-0.6.2-4.el10.src.rpm
dbus-libs,1.14.10,5.el10,x86_64,381803,dbus-1.14.10-5.el10.src.rpm
libgudev,238,7.el10,x86_64,89967,libgudev-238-7.el10.src.rpm
json-glib,1.8.0,5.el10,x86_64,574884,json-glib-1.8.0-5.el10.src.rpm
graphene,1.10.6,10.el10,x86_64,166443,graphene-1.10.6-10.el10.src.rpm
gcr-libs,4.3.0,1.el10,x86_64,1791021,gcr-4.3.0-1.el10.src.rpm
gobject-introspection,1.79.1,6.el10,x86_64,329019,gobject-introspection-1.79.1-6.el10.src.rpm
shared-mime-info,2.3,8.el10,x86_64,5418933,shared-mime-info-2.3-8.el10.src.rpm
ModemManager-glib,1.22.0,7.el10,x86_64,1493302,ModemManager-1.22.0-7.el10.src.rpm
libgusb,0.4.9,4.el10,x86_64,170095,libgusb-0.4.9-4.el10.src.rpm
colord-libs,1.4.7,6.el10,x86_64,843312,colord-1.4.7-6.el10.src.rpm
libyaml,0.2.5,16.el10,x86_64,137595,libyaml-0.2.5-16.el10.src.rpm
protobuf-c,1.5.0,6.el10,x86_64,55280,protobuf-c-1.5.0-6.el10.src.rpm
